protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation
tcp,103.135.6.222,50828,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,40018,156.59.239.221,8888,OUT.bound,ddi-tcp-1,established,,INTL.c,SG,ASNone ,,,,
tcp,192.168.2.1,45222,74.125.200.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,LCIA:HoneyNet:2023,pulled from router,2023-07-23T12:04:51.473000,Whitelisted IP
tcp,103.135.6.222,57746,210.64.173.5,14546,OUT.bound,,established,,INTL.c,TW,AS4780 digital united inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-12-14T20:30:45.247000,
tcp,103.135.6.222,52514,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,49461,20.198.162.76,443,OUT.bound,https,established,,INTL.c,SG,AS8075 microsoft corporation,LCIA:HoneyNet:2022,pulled from router,2023-01-30T23:00:04.143000,Cloud Provider IP range
tcp,103.135.6.222,60335,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,51708,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
icmp,43.247.14.171,,103.135.6.222,,IN.bound,,,,,ID,AS38320 pt maxindo mitra solusi,,,,
tcp,36.89.59.90,80,159.223.138.47,39548,Other,,established,,,,,,,,
tcp,103.135.6.222,54317,203.161.21.170,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,61121,23.38.195.74,80,OUT.bound,http,established,,LOKAL.c,US,AS7713 pt telekomunikasi indonesia,,,,Whitelisted IP
tcp,103.135.6.222,50543,202.152.1.208,80,OUT.bound,http,established,,LOKAL.c,ID,AS4800 aplikanusa lintasarta,,,,
tcp,103.135.6.222,58871,51.77.90.246,8081,OUT.bound,sunproxyadmin,established,,INTL.c,FR,AS16276 ovh sas,,,,
tcp,103.135.6.222,56672,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,59641,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,60379,38.96.206.64,80,OUT.bound,http,established,msftstorebg.s.llnwi.net,INTL.c,US,AS174 cogent communications,ww1.imobitracking.net,critical  cronup threat  cyber threat  data  serious  tracking  emails collection  relay router   em,2023-11-25T05:42:59.043000,
tcp,103.135.6.222,55930,23.222.26.27,80,OUT.bound,http,established,,LOKAL.c,US,AS16625 akamai technologies  inc.,,,,Whitelisted IP
tcp,103.135.6.222,60963,103.149.91.220,17057,OUT.bound,,established,,INTL.c,HK,AS142032 high family technology co.  limited,Guardicore - 03-12-2023,,2023-12-04T00:13:24.600000,
tcp,103.135.6.222,54370,184.27.122.9,80,OUT.bound,http,established,,INTL.c,SG,AS20940 akamai international b.v.,,,,Whitelisted IP
tcp,103.135.6.222,61113,23.219.204.136,80,OUT.bound,http,established,,LOKAL.c,BR,AS4230 claro s.a.,,,,
tcp,103.135.6.222,64884,23.38.195.209,80,OUT.bound,http,established,,LOKAL.c,US,AS7713 pt telekomunikasi indonesia,,,,Whitelisted IP
tcp,103.135.6.222,50064,38.96.206.64,80,OUT.bound,http,established,msftstorebg.s.llnwi.net,INTL.c,US,AS174 cogent communications,ww1.imobitracking.net,critical  cronup threat  cyber threat  data  serious  tracking  emails collection  relay router   em,2023-11-25T05:42:59.043000,
tcp,192.168.1.2,53006,157.240.208.34,443,OUT.bound,https,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,,
tcp,103.135.6.222,49914,210.210.145.10,80,OUT.bound,http,established,,LOKAL.c,ID,AS4787 pt cyberindo aditama,,,,
udp,103.135.6.222,4500,12.208.161.83,4500,OUT.bound,ipsec-nat-t,,,INTL.c,US,AS7018 att services inc,,,,
tcp,103.135.6.222,55278,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,59194,202.152.1.210,80,OUT.bound,http,established,a1847.dscd.akamai.net,LOKAL.c,ID,AS4800 aplikanusa lintasarta,,,,
tcp,103.135.6.222,49960,38.96.206.64,80,OUT.bound,http,established,msftstorebg.s.llnwi.net,INTL.c,US,AS174 cogent communications,ww1.imobitracking.net,critical  cronup threat  cyber threat  data  serious  tracking  emails collection  relay router   em,2023-11-25T05:42:59.043000,
tcp,103.135.6.222,49257,142.251.175.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,,,,
tcp,103.135.6.222,51074,184.28.235.203,80,OUT.bound,http,established,,INTL.c,SG,AS20940 akamai international b.v.,,,,Whitelisted IP
tcp,103.135.6.222,50344,38.96.206.64,80,OUT.bound,http,established,msftstorebg.s.llnwi.net,INTL.c,US,AS174 cogent communications,ww1.imobitracking.net,critical  cronup threat  cyber threat  data  serious  tracking  emails collection  relay router   em,2023-11-25T05:42:59.043000,
tcp,103.135.6.222,49915,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,60866,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,54048,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,192.168.50.251,65003,216.239.38.120,443,OUT.bound,https,established,forcesafesearch.google.com,,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000,Whitelisted IP
tcp,103.135.6.222,61943,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,51436,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,54998,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,60598,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,64793,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,59367,210.210.145.9,80,OUT.bound,http,established,,LOKAL.c,ID,AS4787 pt cyberindo aditama,,,,
tcp,103.135.6.222,42087,216.239.36.135,443,OUT.bound,https,established,,LOKAL.c,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,Whitelisted IP
tcp,103.135.6.222,53513,202.152.1.201,80,OUT.bound,http,established,,LOKAL.c,ID,AS4800 aplikanusa lintasarta,,,,
tcp,103.135.6.222,49440,111.42.237.27,18038,OUT.bound,,established,,INTL.c,CN,AS132525 heilongjiang mobile communication company limited,Guardicore - 03-12-2023,,2023-12-04T00:13:24.600000,
tcp,103.135.6.222,55279,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,192.168.2.1,33128,172.253.118.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,
tcp,192.168.2.1,56284,34.223.153.246,443,OUT.bound,https,established,,INTL.c,US,AS16509 amazon.com inc,,,,Cloud Provider IP range
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,youtubei.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,playstoregatewayadapter-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,peoplestack-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,accountcapabilities-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,photosdata-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,content-autofill.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,firebaseremoteconfig.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,maps.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,chromewebstore.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,passwordsleakcheck-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,android-context-data.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,mdh-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,play.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,
udp,192.168.2.1,51408,142.251.175.95,443,OUT.bound,https,,drivefrontend-pa.clients6.google.com,LOKAL.c,US,AS15169 google llc,,,,
tcp,103.135.6.222,53521,203.161.21.48,80,OUT.bound,http,established,a122.dscg3.akamai.net,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,59719,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,57271,23.222.26.27,80,OUT.bound,http,established,,LOKAL.c,US,AS16625 akamai technologies  inc.,,,,Whitelisted IP
tcp,103.135.6.222,49853,203.161.21.178,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,61917,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,52101,202.152.1.210,80,OUT.bound,http,established,a1847.dscd.akamai.net,LOKAL.c,ID,AS4800 aplikanusa lintasarta,,,,
tcp,103.135.6.222,64278,64.233.170.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
tcp,103.135.6.222,52373,210.64.173.5,14546,OUT.bound,,established,,INTL.c,TW,AS4780 digital united inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-12-14T20:30:45.247000,
tcp,103.135.6.222,65129,34.237.73.95,443,OUT.bound,https,established,,INTL.c,US,AS14618 amazon.com  inc.,,,,Cloud Provider IP range
tcp,103.135.6.222,49964,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,49553,203.161.21.10,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,54238,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,49579,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,192.168.2.1,55716,20.189.173.2,443,OUT.bound,https,established,,INTL.c,US,AS8075 microsoft corporation,Spyware: http://browser.events.data.microsoftstart.cn,,2023-11-20T05:49:10.586000,Cloud Provider IP range
tcp,103.135.6.222,59675,202.152.1.210,80,OUT.bound,http,established,a1847.dscd.akamai.net,LOKAL.c,ID,AS4800 aplikanusa lintasarta,,,,
tcp,185.224.128.184,23395,103.135.6.221,80,IN.bound,http,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-12-14 Port Scan,,2023-12-14T22:59:14.943000,
tcp,103.135.6.222,61949,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,57372,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,44430,74.125.68.188,5228,OUT.bound,hpvroom,established,mobile-gtalk.l.google.com,LOKAL.c,,,,,,
tcp,192.168.2.1,58154,74.125.200.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,LCIA:HoneyNet:2023,pulled from router,2023-07-23T12:04:51.473000,Whitelisted IP
tcp,103.135.6.222,60619,118.98.77.89,80,OUT.bound,http,established,,LOKAL.c,ID,AS7713 pt telekomunikasi indonesia,,,,
tcp,103.135.6.222,61195,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,64426,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,64619,184.150.154.83,80,OUT.bound,http,established,,INTL.c,CA,AS577 bell canada,r3.o.lencr.org - Browser redirecting Hijacker. LetsEncrypt? OSCP login?,,2023-09-10T19:01:15.537000,Whitelisted IP
tcp,103.135.6.222,49779,208.89.12.87,443,OUT.bound,https,established,liveperson.teridion.systems,LOKAL.c,US,AS11054 liveperson  inc.,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,
tcp,103.135.6.222,64086,38.96.206.64,80,OUT.bound,http,established,msftstorebg.s.llnwi.net,INTL.c,US,AS174 cogent communications,ww1.imobitracking.net,critical  cronup threat  cyber threat  data  serious  tracking  emails collection  relay router   em,2023-11-25T05:42:59.043000,
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,peoplestackwebexperiments-pa.clients6.google.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
