timestamp,protocol,src-address,dst-address,reply-src-address,reply-dst-address
2023-10-09 13:36:43,tcp,175.103.43.90:51874,10.0.0.4:4075,10.0.0.4:4075,175.103.43.90:51874
2023-10-09 13:36:43,tcp,192.168.99.242:54496,35.190.80.1:443,35.190.80.1:443,10.0.0.4:54496
2023-10-09 13:36:43,tcp,192.168.99.242:54463,20.197.71.89:443,20.197.71.89:443,10.0.0.4:54463
2023-10-09 13:36:43,tcp,192.168.99.242:53997,74.125.204.188:5228,74.125.204.188:5228,10.0.0.4:53997
2023-10-09 13:36:43,tcp,10.0.0.4:52931,89.248.163.88:62255,89.248.163.88:62255,10.0.0.4:52931
2023-10-09 13:36:43,tcp,192.168.99.242:54501,91.108.56.186:443,91.108.56.186:443,10.0.0.4:54501
2023-10-09 13:36:43,tcp,192.168.99.242:53998,74.125.204.188:5228,74.125.204.188:5228,10.0.0.4:53998
2023-10-09 13:36:43,tcp,192.168.99.242:54500,91.108.56.186:443,91.108.56.186:443,10.0.0.4:54500
2023-10-09 13:36:43,tcp,192.168.99.242:53996,20.197.71.89:443,20.197.71.89:443,10.0.0.4:53996
2023-10-09 13:36:43,tcp,192.168.99.242:54034,91.108.56.186:443,91.108.56.186:443,10.0.0.4:54034
2023-10-09 13:36:43,tcp,192.168.99.242:54347,91.108.56.141:443,91.108.56.141:443,10.0.0.4:54347
2023-10-09 13:36:43,tcp,192.168.99.242:53999,34.120.214.181:443,34.120.214.181:443,10.0.0.4:53999
2023-10-09 13:36:43,tcp,192.168.99.242:54451,20.197.71.89:443,20.197.71.89:443,10.0.0.4:54451
2023-10-09 13:36:43,tcp,192.168.99.242:51889,20.197.71.89:443,20.197.71.89:443,10.0.0.4:51889
2023-10-09 13:36:43,tcp,192.168.99.242:51891,74.125.23.188:5228,74.125.23.188:5228,10.0.0.4:51891
2023-10-09 13:36:43,tcp,192.168.99.242:51890,74.125.23.188:5228,74.125.23.188:5228,10.0.0.4:51890
2023-10-09 13:36:43,tcp,192.168.99.242:52212,91.108.56.186:443,91.108.56.186:443,10.0.0.4:52212
2023-10-09 13:36:43,tcp,192.168.99.242:52216,91.108.56.141:443,91.108.56.141:443,10.0.0.4:52216
2023-10-09 13:36:43,tcp,192.168.99.242:52339,20.197.71.89:443,20.197.71.89:443,10.0.0.4:52339
2023-10-09 13:36:43,tcp,192.168.99.242:52370,20.197.71.89:443,20.197.71.89:443,10.0.0.4:52370
2023-10-09 13:36:43,tcp,10.0.0.4:52931,34.125.244.97:46812,34.125.244.97:46812,10.0.0.4:52931
2023-10-09 13:36:43,tcp,175.103.43.90:51874,10.0.0.4:4075,10.0.0.4:4075,175.103.43.90:51874
2023-10-09 13:37:01,tcp,192.168.99.242:54496,35.190.80.1:443,35.190.80.1:443,10.0.0.4:54496
