indicator,asn,country_code2,name,description,modified,created
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,
43.192.80.126,ASNone ,US,,,,
52.83.42.219,AS135629 ningxia west cloud data technology co.ltd.,CN,,,,
68.79.44.217,AS135629 ningxia west cloud data technology co.ltd.,CN,,,,
52.83.163.102,AS135629 ningxia west cloud data technology co.ltd.,CN,,,,
43.192.93.193,ASNone ,US,,,,
52.82.15.152,AS135629 ningxia west cloud data technology co.ltd.,CN,,,,
35.190.80.1,AS15169 google llc,US,Qakbot attacks. As strong as before?,command and control\nRedlinestealer\nQakbot\nNoName057\nAzorult\nBlack Rat\nbrowser malware  \nBanke,2023-10-05T08:55:16.736000,2023-10-05T08:55:16.736000
20.197.71.89,AS8075 microsoft corporation,SG,pc connections,pulled from router,2022-05-20T00:01:19.453000,2022-04-20T04:14:28.377000
74.125.204.188,AS15169 google llc,US,,,,
89.248.163.88,AS202425 ip volume inc,GB,,,,
91.108.56.186,AS62014 telegram messenger inc,AG,,,,
91.108.56.141,AS62014 telegram messenger inc,AG,,,,
34.120.214.181,AS396982 google,US,,,,
74.125.23.188,AS15169 google llc,US,,,,
34.125.244.97,AS396982 google,US,,,,
159.148.147.201,AS51894 mikrotikls sia,LV,,,,
159.148.172.251,AS51894 mikrotikls sia,LV,,,,
