data,name
203.190.242.228,cdnv.detik.com
103.49.221.99,cdnv.detik.com
103.49.221.244,newrevive.detik.com
203.190.242.244,newrevive.detik.com
103.49.221.172,push.detik.com
203.190.242.172,push.detik.com
34.120.133.188,collent.detik.com
203.190.242.240,video.detik.com
103.49.221.240,video.detik.com
203.190.242.172,cdnstatic.detik.com
103.49.221.172,cdnstatic.detik.com
35.186.235.23,cdn.mxpnl.com
130.211.5.208,cdn.mxpnl.com
150.129.18.9,webmail.max.net.id
35.190.80.1,a.nel.cloudflare.com
159.148.172.251,cloud2.mikrotik.com
159.148.147.201,cloud2.mikrotik.com
203.190.242.228,cdnv.detik.com
103.49.221.99,cdnv.detik.com
103.49.221.244,newrevive.detik.com
203.190.242.244,newrevive.detik.com
103.49.221.172,push.detik.com
203.190.242.172,push.detik.com
34.120.133.188,collent.detik.com
203.190.242.240,video.detik.com
103.49.221.240,video.detik.com
203.190.242.172,cdnstatic.detik.com
103.49.221.172,cdnstatic.detik.com
35.186.235.23,cdn.mxpnl.com
130.211.5.208,cdn.mxpnl.com
150.129.18.9,webmail.max.net.id
35.190.80.1,a.nel.cloudflare.com
159.148.172.251,cloud2.mikrotik.com
159.148.147.201,cloud2.mikrotik.com
203.190.242.228,cdnv.detik.com
103.49.221.99,cdnv.detik.com
103.49.221.244,newrevive.detik.com
203.190.242.244,newrevive.detik.com
103.49.221.172,push.detik.com
203.190.242.172,push.detik.com
34.120.133.188,collent.detik.com
203.190.242.240,video.detik.com
103.49.221.240,video.detik.com
203.190.242.172,cdnstatic.detik.com
103.49.221.172,cdnstatic.detik.com
35.186.235.23,cdn.mxpnl.com
130.211.5.208,cdn.mxpnl.com
150.129.18.9,webmail.max.net.id
35.190.80.1,a.nel.cloudflare.com
159.148.172.251,cloud2.mikrotik.com
159.148.147.201,cloud2.mikrotik.com
203.190.242.228,cdnv.detik.com
103.49.221.99,cdnv.detik.com
103.49.221.244,newrevive.detik.com
203.190.242.244,newrevive.detik.com
103.49.221.172,push.detik.com
203.190.242.172,push.detik.com
34.120.133.188,collent.detik.com
203.190.242.240,video.detik.com
103.49.221.240,video.detik.com
203.190.242.172,cdnstatic.detik.com
103.49.221.172,cdnstatic.detik.com
35.186.235.23,cdn.mxpnl.com
130.211.5.208,cdn.mxpnl.com
150.129.18.9,webmail.max.net.id
35.190.80.1,a.nel.cloudflare.com
159.148.172.251,cloud2.mikrotik.com
159.148.147.201,cloud2.mikrotik.com
203.190.242.228,cdnv.detik.com
103.49.221.99,cdnv.detik.com
103.49.221.244,newrevive.detik.com
203.190.242.244,newrevive.detik.com
103.49.221.172,push.detik.com
203.190.242.172,push.detik.com
34.120.133.188,collent.detik.com
203.190.242.240,video.detik.com
103.49.221.240,video.detik.com
203.190.242.172,cdnstatic.detik.com
103.49.221.172,cdnstatic.detik.com
35.186.235.23,cdn.mxpnl.com
130.211.5.208,cdn.mxpnl.com
150.129.18.9,webmail.max.net.id
35.190.80.1,a.nel.cloudflare.com
159.148.172.251,cloud2.mikrotik.com
159.148.147.201,cloud2.mikrotik.com
203.190.242.228,cdnv.detik.com
103.49.221.99,cdnv.detik.com
103.49.221.244,newrevive.detik.com
203.190.242.244,newrevive.detik.com
103.49.221.172,push.detik.com
203.190.242.172,push.detik.com
34.120.133.188,collent.detik.com
203.190.242.240,video.detik.com
103.49.221.240,video.detik.com
203.190.242.172,cdnstatic.detik.com
103.49.221.172,cdnstatic.detik.com
35.186.235.23,cdn.mxpnl.com
130.211.5.208,cdn.mxpnl.com
150.129.18.9,webmail.max.net.id
35.190.80.1,a.nel.cloudflare.com
159.148.172.251,cloud2.mikrotik.com
159.148.147.201,cloud2.mikrotik.com
203.190.242.228,cdnv.detik.com
103.49.221.99,cdnv.detik.com
103.49.221.244,newrevive.detik.com
203.190.242.244,newrevive.detik.com
103.49.221.172,push.detik.com
203.190.242.172,push.detik.com
34.120.133.188,collent.detik.com
203.190.242.240,video.detik.com
103.49.221.240,video.detik.com
203.190.242.172,cdnstatic.detik.com
103.49.221.172,cdnstatic.detik.com
35.186.235.23,cdn.mxpnl.com
130.211.5.208,cdn.mxpnl.com
150.129.18.9,webmail.max.net.id
35.190.80.1,a.nel.cloudflare.com
159.148.172.251,cloud2.mikrotik.com
159.148.147.201,cloud2.mikrotik.com
203.190.242.228,cdnv.detik.com
103.49.221.99,cdnv.detik.com
103.49.221.244,newrevive.detik.com
203.190.242.244,newrevive.detik.com
103.49.221.172,push.detik.com
203.190.242.172,push.detik.com
34.120.133.188,collent.detik.com
203.190.242.240,video.detik.com
103.49.221.240,video.detik.com
203.190.242.172,cdnstatic.detik.com
103.49.221.172,cdnstatic.detik.com
35.186.235.23,cdn.mxpnl.com
130.211.5.208,cdn.mxpnl.com
150.129.18.9,webmail.max.net.id
35.190.80.1,a.nel.cloudflare.com
159.148.172.251,cloud2.mikrotik.com
159.148.147.201,cloud2.mikrotik.com
